gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GENENAME,COMMON,DESCRIPTION,SGD,UNIPROT,GO,ONTOLOGY,PATH,PFAM,INTERPRO
YBR117C,150.50849404364928,4.251957503820214,0.2647198281045419,16.06210435487685,4.70320371001069e-58,2.7000664935197736e-55,TKL2,TKL2,"Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog, TKL1, that arose from the whole genome duplication",S000000321,A0A0L8VVN1,GO:0004802;GO:0005634;GO:0005737;GO:0005829;GO:0006098;GO:0009052;GO:0016740;GO:0046872,BP;CC;MF,00030;01100;01110,PF00456;PF02779;PF22613,IPR005474;IPR005475;IPR005478;IPR009014;IPR020826;IPR029061;IPR033247;IPR033248
YKR075C,285.45190958020953,2.9963547669123365,0.19095683502982533,15.691267434571479,1.73555374946612e-55,9.133351606565458e-53,NA,NA,"Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YKR075C has a paralog, YOR062C, that arose from the whole genome duplication",S000001783,D6VXD5,GO:0003674;GO:0005634;GO:0005737;GO:0005773;GO:0007039;GO:0008150;GO:0042149,BP;CC;MF,,,
YMR105C,460.24415450737143,3.3245884615106647,0.2149475396226567,15.466976115879365,5.79667276209088e-54,2.815845268661839e-51,PGM2,PGM2,"Phosphoglucomutase; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate, which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase; protein abundance increases in response to DNA replication stress; PGM2 has a paralog, PGM1, that arose from the whole genome duplication",S000004711,A6ZMG1,GO:0000287;GO:0004614;GO:0005737;GO:0005829;GO:0005975;GO:0005978;GO:0005980;GO:0005992;GO:0006006;GO:0006011;GO:0006874;GO:0016051;GO:0016853;GO:0016868;GO:0019255;GO:0019388;GO:0030003;GO:0046872;GO:0051156,BP;CC;MF,00010;00030;00052;00230;00500;00520;01100;01110,PF02878;PF02879;PF02880;PF24947,IPR005841;IPR005843;IPR005844;IPR005845;IPR005846;IPR016055;IPR016066
YDR403W,129.0223701876606,4.5470121480749635,0.30343775686433894,14.98499130451931,9.203761363596517e-51,4.1515537865080004e-48,DIT1,DIT1,Sporulation-specific enzyme required for spore wall maturation; involved in the production of a soluble LL-dityrosine-containing precursor of the spore wall; transcripts accumulate at the time of prospore enclosure,S000002811,D6VT35,GO:0003824;GO:0005829;GO:0030435;GO:0030476;GO:0042764,BP;CC;MF,,PF05141,IPR007817
YHL021C,309.0522790134922,2.926503597720346,0.20024490829885322,14.614621777811795,2.2660934107579458e-48,9.540253259290952e-46,AIM17,AIM17,"Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss",S000001013,A6ZSN0,GO:0003674;GO:0005739;GO:0007005;GO:0016491;GO:0045329;GO:0046872;GO:0051213,BP;CC;MF,,PF02668,IPR003819
YNL195C,242.6509146694062,2.970246823423503,0.20459244167031929,14.517871721819349,9.336425637638772e-48,3.6849704938555525e-45,NA,NA,"Protein of unknown function; shares a promoter with YNL194C; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YNL195C has a paralog, HBT1, that arose from the whole genome duplication",S000005139,A6ZRP2,GO:0003674;GO:0005739;GO:0008150,BP;CC;MF,,,
YJL152W,277.277723901745,2.837773058920433,0.19569961882279194,14.500657057947906,1.1999572709951724e-47,4.4574883331379494e-45,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",S000003688,NA,,,,,
YHR087W,396.9683142697294,3.6418201596219366,0.2523578608244046,14.431173840691194,3.294263734349149e-47,1.1557375268008262e-44,RTC3,RTC3,"Protein of unknown function involved in RNA metabolism; has structural similarity to SBDS, the human protein mutated in Shwachman-Diamond Syndrome (the yeast SBDS ortholog is SDO1); null mutation suppresses cdc13-1 temperature sensitivity; protein abundance increases in response to DNA replication stress",S000001129,A0A0L8VPC0,GO:0003674;GO:0005634;GO:0005737;GO:0006364;GO:0016070;GO:0042254,BP;CC;MF,,PF01172,IPR019783
YBR294W,177.50964582396395,-2.9971018658840443,0.2086922600738595,-14.361346533998542,9.045247125908439e-47,3.0063545052690414e-44,SUL1,SUL1,"High affinity sulfate permease of the SulP anion transporter family; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates",S000000498,A0A0L8VUQ0,GO:0005886;GO:0008271;GO:0015116;GO:0016020;GO:0055085;GO:1902358;GO:1902476,BP;CC;MF,,PF00916,IPR001902;IPR002645;IPR011547;IPR018045
YNR071C,1229.402328294804,3.4468473348356246,0.24007350902991556,14.357466380874671,9.566082727562591e-47,3.020490621227888e-44,NA,aldose 1-epimerase superfamily protein,Putative aldose 1-epimerase,S000005354,A6ZSE5,GO:0003674;GO:0003824;GO:0004034;GO:0005575;GO:0005975;GO:0006006;GO:0008150;GO:0016853;GO:0030246;GO:0033499,BP;CC;MF,,PF01263,IPR008183;IPR011013;IPR014718;IPR018052
YPL265W,309.5307357527569,-3.5422145850936353,0.24729924583918192,-14.323596390573421,1.5584500452976433e-46,4.68648192193077e-44,DIP5,DIP5,"Dicarboxylic amino acid permease; mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly; relocalizes from plasma membrane to vacuole upon DNA replication stress",S000006186,A0A0L8VGG6,GO:0000324;GO:0000329;GO:0003333;GO:0005310;GO:0005886;GO:0006835;GO:0006865;GO:0015171;GO:0016020;GO:0022857;GO:0055085;GO:0071944,BP;CC;MF,,PF00324,IPR002293;IPR004762;IPR004840;IPR004841
YDL204W,859.5720648958234,3.053638630827729,0.2150879565405908,14.197162314159858,9.539782587474329e-46,2.7383512290863814e-43,RTN2,RTN2,"Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Sec6p, Yip3p, and Sbh1p; less abundant than RTN1; member of RTNLA (reticulon-like A) subfamily; protein increases in abundance and relocalizes to plasma membrane upon DNA replication stress",S000002363,B3LH84,GO:0003674;GO:0005634;GO:0005737;GO:0005783;GO:0005789;GO:0032541;GO:0032581;GO:0034976;GO:0048309;GO:0071782;GO:0071786;GO:0071788;GO:0071944,BP;CC;MF,,PF02453,IPR003388
YDR343C,706.9003374351713,5.665672229121245,0.4024465159723405,14.078074984529467,5.180171086387587e-45,1.4222948004581571e-42,HXT6,HXT6,"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication",S000002751,D6VSX4,GO:0005351;GO:0005353;GO:0005739;GO:0005886;GO:0008643;GO:0008645;GO:0015578;GO:0015755;GO:0015761;GO:0016020;GO:0022857;GO:0031966;GO:0055056;GO:0055085;GO:0071944;GO:1902600,BP;CC;MF,04113,PF00083,IPR003663;IPR005828;IPR005829;IPR020846
YER067C-A,984.4841835587879,3.4471845584623093,0.24818246286173973,13.889718551075486,7.312207869484577e-44,1.8995971647561345e-41,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF RGI1/YER067W",S000028748,NA,,,,,
YMR173W-A,832.5081010591425,2.7197738562873273,0.19584034593944522,13.887709619999827,7.520178799509638e-44,1.8995971647561345e-41,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene DDR48/YML173W",S000004785,NA,,,,,
YMR250W,268.26057016371175,2.7998834312439302,0.20224781983472553,13.843825033723286,1.3862900446946724e-43,3.3670852431718676e-41,GAD1,GAD1,Glutamate decarboxylase; converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress,S000004862,A0A0L8VJA4,GO:0004351;GO:0005737;GO:0005829;GO:0006536;GO:0006538;GO:0006540;GO:0016829;GO:0016830;GO:0016831;GO:0019752;GO:0030170;GO:0034599,BP;CC;MF,00250;00410;00430;00650;01100;01110,PF00282,IPR002129;IPR010107;IPR015421;IPR015424
YNL173C,195.39001317991293,3.16434093826223,0.2306443330778648,13.719569416838688,7.752442470196314e-43,1.8132101555292491e-40,MDG1,MDG1,"Plasma membrane protein; involved in G-protein mediated pheromone signaling pathway; overproduction suppresses bem1 mutations; MDG1 has a paralog, CRP1, that arose from the whole genome duplication",S000005117,A0A0L8VIF7,GO:0000750;GO:0003674;GO:0005634;GO:0005737;GO:0005886;GO:0007165;GO:0019901;GO:0031588,BP;CC;MF,,PF16561,IPR014756;IPR032640
YIL136W,1166.1628852281883,3.3726903059761826,0.24759603360493182,13.621746103403664,2.973718033622494e-42,6.706796207973589e-40,OM45,OM45,"Mitochondrial outer membrane protein of unknown function; major constituent of the outer membrane, extending into the intermembrane space; interacts with porin (Por1p) and with Om14p; imported via the presequence pathway involving the TOM and TIM23 complexes, then assembled in the outer membrane by Mim1p; protein abundance increases in response to DNA replication stress",S000001398,A6ZVD9,GO:0003674;GO:0005739;GO:0005741;GO:0008150,BP;CC;MF,,,
YKL071W,413.44620202254725,-4.608139830396866,0.35103526423625636,-13.127284634558714,2.2974788690045517e-39,5.002958295780601e-37,OSI1,OSI1,"NADH-dependent short-chain aldehyde reductase; involved in detoxification of furfural; expression is upregulated in cells treated with the aldehydes furfural and glycolaldehyde, the mycotoxin patulin, and also the quinone methide triterpene celastrol; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm",S000001554,B3LR19,GO:0004029;GO:0005737;GO:0016491;GO:0110095,BP;CC;MF,,,IPR002347;IPR016040
YIL119C,414.2040004146065,3.3074538763607455,0.25332690088164767,13.056070495671369,5.8679355930359144e-39,1.23520044233406e-36,RPI1,RPI1,"Transcription factor, allelic differences between S288C and Sigma1278b; mediates fermentation stress tolerance by modulating cell wall integrity; overexpression suppresses heat shock sensitivity of wild-type RAS2 overexpression and also suppresses cell lysis defect of mpk1 mutation; allele from S288c can confer fMAPK pathway independent transcription of FLO11; S288C and Sigma1278b alleles differ in number of tandem repeats within ORF",S000001381,C7GWJ1,GO:0003677;GO:0005634;GO:0007265;GO:0009272;GO:0030695;GO:0045944,BP;CC;MF,,,IPR017877
YDR342C,1834.7953382953829,2.497241241463765,0.19345783067270197,12.908452621329534,4.0332455577419805e-38,8.216111515206647e-36,HXT7,HXT7,"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication",S000002750,A0A3G1C686,GO:0005351;GO:0005353;GO:0005739;GO:0005886;GO:0008643;GO:0008645;GO:0015146;GO:0015578;GO:0015750;GO:0015755;GO:0015761;GO:0016020;GO:0022857;GO:0055056;GO:0055085;GO:0071944;GO:1902600;GO:1904659,BP;CC;MF,04113,PF00083,IPR003663;IPR005828;IPR005829;IPR020846
YIL045W,337.2010035841569,3.5223816584708847,0.27525094410524675,12.796983021878551,1.7044535307052405e-37,3.363632514501123e-35,PIG2,PIG2,"Putative type-1 protein phosphatase targeting subunit; tethers Glc7p type-1 protein phosphatase to Gsy2p glycogen synthase; PIG2 has a paralog, GIP2, that arose from the whole genome duplication",S000001307,A6ZVM4,GO:0000164;GO:0005737;GO:0005979;GO:0008157;GO:0019888;GO:2001069,BP;CC;MF,,PF03370,IPR005036;IPR016717
YLR270W,350.40478112424444,2.13931735641098,0.16747830802841854,12.773698167812695,2.299631573514249e-37,4.4006586020431767e-35,DCS1,DCS1,"Non-essential hydrolase involved in mRNA decapping; activates Xrn1p; may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; acts as inhibitor of neutral trehalase Nth1p; required for growth on glycerol medium; protein abundance increases in response to DNA replication stress; DCS1 has a paralog, DCS2, that arose from the whole genome duplication",S000004260,A0A0L8VL28,GO:0000290;GO:0000340;GO:0000932;GO:0005634;GO:0005737;GO:0005739;GO:0006970;GO:0006979;GO:0007584;GO:0009267;GO:0009408;GO:0016787;GO:0016818;GO:0030234;GO:0031086;GO:0042803;GO:0044692;GO:0046982;GO:0048471;GO:0140932,BP;CC;MF,03018,PF05652;PF11969,IPR008594;IPR011145;IPR011146;IPR019808
YMR169C,145.18384324704564,2.9538802087487914,0.23284706590379275,12.68592411625779,7.0774142304124204e-37,1.3145256136780718e-34,ALD3,ALD3,Cytoplasmic aldehyde dehydrogenase; involved in beta-alanine synthesis; uses NAD+ as the preferred coenzyme; very similar to Ald2p; expression is induced by stress and repressed by glucose,S000004779,A6ZMM8,GO:0004029;GO:0004030;GO:0005737;GO:0005829;GO:0006598;GO:0015937;GO:0015940;GO:0016491;GO:0016620;GO:0019483;GO:0046394;GO:0102244,BP;CC;MF,00010;00340;00350;00360;01100,PF00171,IPR015590;IPR016160;IPR016161;IPR016162;IPR016163;IPR029510
YNL200C,436.9298994408383,2.6937280342082093,0.2143485726113027,12.567044423911259,3.204822458529864e-36,5.782415378747454e-34,NNR1,NNR1,"NADHX epimerase; catalyzes isomerization of (R)- and (S)-NADHX; homologous to AIBP in mammals and the N- terminal domain of YjeF in E.coli; enzyme is widespread in eukaryotes, prokaryotes and archaea; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",S000005144,A0A0L8VIC2,GO:0000166;GO:0005737;GO:0005739;GO:0016853;GO:0046496;GO:0046872;GO:0052856,BP;CC;MF,,PF03853,IPR004443;IPR032976
YMR009W,217.82272471813536,3.011737068743883,0.24090892260375824,12.501558830585626,7.320165293474225e-36,1.2840789952302703e-33,ADI1,ADI1,Acireductone dioxygenease involved in methionine salvage pathway; transcribed as polycistronic mRNA with YMR010W and regulated post-transcriptionally by RNase III (Rnt1p) cleavage; ADI1 mRNA is induced in heat shock conditions; human ortholog ADI1 can complement yeast adi1 mutant,S000004611,A0A0L8VJW1,GO:0005506;GO:0005634;GO:0005737;GO:0005829;GO:0006555;GO:0008652;GO:0009086;GO:0010308;GO:0010309;GO:0016151;GO:0016491;GO:0019509;GO:0046872;GO:0051213;GO:0071267,BP;CC;MF,00270;01100,PF03079,IPR004313;IPR011051;IPR014710;IPR027496
YKR069W,178.26821313765026,2.828431678405565,0.23079752349923416,12.255034783399443,1.5788158847481434e-34,2.694654678968791e-32,MET1,MET1,"S-adenosyl-L-methionine uroporphyrinogen III transmethylase; involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis",S000001777,D6VXD0,GO:0000103;GO:0004851;GO:0005634;GO:0005829;GO:0006779;GO:0006783;GO:0008168;GO:0008652;GO:0009086;GO:0016740;GO:0019354;GO:0032259,BP;CC;MF,00860;01100;01110,PF00590,IPR000878;IPR003043;IPR012066;IPR014776;IPR014777;IPR016040
YGR248W,170.8274856749071,3.154784578990829,0.2594305056829207,12.160422579010994,5.04967956729317e-34,8.391770123014834e-32,SOL4,SOL4,"6-phosphogluconolactonase; protein abundance increases in response to DNA replication stress; SOL4 has a paralog, SOL3, that arose from the whole genome duplication",S000003480,B3LHZ2,GO:0005634;GO:0005737;GO:0005829;GO:0005975;GO:0006098;GO:0009051;GO:0016787;GO:0017057,BP;CC;MF,00030;01100;01110,PF01182,IPR005900;IPR006148
YLR269C,118.67080204289428,3.1070191279526225,0.25576553151239806,12.147919657430508,5.884387478861047e-34,9.52818126384808e-32,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",S000004259,NA,,,,,
YBR116C,97.7265729709943,4.9796070546547675,0.4107651923145749,12.122758081315839,8.00201250081157e-34,1.2633177235656266e-31,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene TKL2",S000000320,NA,,,,,
YKL085W,2345.915636739107,2.6566179482362817,0.21977081979878882,12.0881286727171,1.2203469468010912e-33,1.8796319436704611e-31,MDH1,MDH1,Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated; mutation in human homolog MDH2 causes early-onset severe encephalopathy,S000001568,A0A0L8VM07,GO:0003729;GO:0003824;GO:0005737;GO:0005739;GO:0005759;GO:0005829;GO:0006099;GO:0006108;GO:0009060;GO:0016491;GO:0016615;GO:0016616;GO:0019752;GO:0030060;GO:0044238,BP;CC;MF,00020;00620;00630;01100;01110,PF00056;PF02866,IPR001236;IPR001252;IPR001557;IPR010097;IPR015955;IPR016040;IPR022383
YPR184W,647.1582513105946,2.141012023258367,0.1772547906721372,12.078725856377739,1.3682345989574979e-33,2.057238450575381e-31,GDB1,GDB1,"Glycogen debranching enzyme; contains glucanotranferase and alpha-1,6-amyloglucosidase activities; required for glycogen degradation; phosphorylated in mitochondria; activity is inhibited by Igd1p; protein abundance increases in response to DNA replication stress",S000006388,A0A0L8VGN0,GO:0003824;GO:0004134;GO:0004135;GO:0005737;GO:0005739;GO:0005829;GO:0005975;GO:0005978;GO:0005980;GO:0016740;GO:0016757;GO:0016787;GO:0016798,BP;CC;MF,00500;01100,PF06202;PF14699;PF14701;PF14702,IPR006421;IPR008928;IPR010401;IPR013781;IPR017853;IPR029436;IPR032788;IPR032790;IPR032792
YGL103W,543.6400578222782,-4.119560709379071,0.34199359540022684,-12.04572472931269,2.0427314454763975e-33,2.999964901903128e-31,RPL28,RPL28,Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance,S000003071,A0A0L8VRF6,GO:0002181;GO:0003723;GO:0003735;GO:0005634;GO:0005737;GO:0005840;GO:0006412;GO:0015934;GO:0022625;GO:1990904,BP;CC;MF,03010,PF00828,IPR001196;IPR021131;IPR030878
YBR214W,238.15595758766182,2.773018564624636,0.23030799742697053,12.040478817953101,2.1768844118667512e-33,3.1243238774860304e-31,SDS24,SDS24,"Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; may play an indirect role in fluid-phase endocytosis; protein abundance increases in response to DNA replication stress; SDS24 has a paralog, SDS23, that arose from the whole genome duplication",S000000418,A6ZLF4,GO:0000920;GO:0003674;GO:0004865;GO:0005737;GO:0005829;GO:0006897;GO:0030071;GO:0042149,BP;CC;MF,,PF00571,IPR000644;IPR016711
YML128C,518.4596239426044,1.9164111777136836,0.1624139605757214,11.799547101249374,3.924177591559562e-32,5.5069292201552524e-30,MSC1,MSC1,"Nuclear envelope protein involved in DSB repair during late mitosis; forms nuclear envelope patches associated with Rad52p-containing DNA repair foci, and accelerates homologous recombination downstream of DNA end resection; mutant is defective in directing meiotic recombination events to homologous chromatids; upregulated after DNA damage in late mitosis; null mutant is hypersensitive to DSBs; non-tagged protein is detected in highly purified mitochondria and is phosphorylated",S000004597,B3LLD2,GO:0003674;GO:0005635;GO:0005739;GO:0005783;GO:0005886;GO:0007131;GO:1990166,BP;CC;MF,,PF10281,IPR018803
YHR176W,157.50538592576817,2.7857968709587957,0.23750279472134173,11.729533011294992,8.995357534450528e-32,1.2349061484794585e-29,FMO1,FMO1,Flavin-containing monooxygenase; localized to the cytoplasmic face of the ER membrane; catalyzes oxidation of biological thiols to maintain the ER redox buffer ratio for correct folding of disulfide-bonded proteins,S000001219,A0A0L8VPJ0,GO:0004497;GO:0004499;GO:0005789;GO:0005829;GO:0006457;GO:0016491;GO:0050660;GO:0050661,BP;CC;MF,,PF00743,IPR000960;IPR020946;IPR023753
YPL056C,93.75103765819014,3.772046128246934,0.3216917356500023,11.725654439413034,9.41704183204867e-32,1.2652897695614332e-29,LCL1,LCL1,Protein of unknown function; deletion mutant is fluconazole resistant and has long chronological lifespan,S000005977,D6W3V8,GO:0003674;GO:0005575;GO:0005886;GO:0008150;GO:0098552,BP;CC;MF,,,
YHL016C,224.7811844577788,-2.7258166273488564,0.2334414901922271,-11.676658785481049,1.6776096385953069e-31,2.2071051807769506e-29,DUR3,DUR3,"Plasma membrane transporter for both urea and polyamines; expression is highly sensitive to nitrogen catabolite repression and induced by allophanate, the last intermediate of the allantoin degradative pathway",S000001008,A0A0L8VPA3,GO:0005783;GO:0005886;GO:0015204;GO:0015489;GO:0015606;GO:0015840;GO:0015847;GO:0015848;GO:0016020;GO:0022857;GO:0055085;GO:0071918;GO:0071944;GO:1903711,BP;CC;MF,,PF00474,IPR001734;IPR031155
YKL182W,2196.939511881707,-2.930827564158885,0.251178366646249,-11.668312057648508,1.8505852696931181e-31,2.3849889751249063e-29,FAS1,FAS1,"Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities; specific target of the broad-spectrum antifungal NPD6433",S000001665,A6ZZE4,GO:0003824;GO:0004312;GO:0004313;GO:0004314;GO:0004318;GO:0004321;GO:0005737;GO:0005739;GO:0005811;GO:0005829;GO:0005835;GO:0006629;GO:0006631;GO:0006633;GO:0008410;GO:0016297;GO:0016409;GO:0016491;GO:0016631;GO:0016740;GO:0016747;GO:0016787;GO:0016829;GO:0019171;GO:0019367;GO:0030497;GO:0042759;GO:0141148,BP;CC;MF,00061;01100,PF00698;PF01575;PF08354;PF13452;PF16073;PF17828;PF17951;PF22235,IPR001227;IPR002539;IPR003965;IPR013565;IPR014043;IPR016035;IPR016452;IPR020801;IPR029069;IPR032088
