gene_id,GENENAME,COMMON,DESCRIPTION,SGD,UNIPROT,GO,ONTOLOGY,PATH,PFAM,INTERPRO
Q0120,BI4,BI4,Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA,S000007273,A0A0A7NYH9,GO:0000372;GO:0003723;GO:0004519;GO:0005739;GO:0006122;GO:0006397;GO:0008380;GO:0016787;GO:0090615,BP;CC;MF,00190;01100,PF00033;PF00961,IPR004860;IPR005797;IPR016174;IPR027387;IPR027434
Q0130,OLI1,OLI1,F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2,S000007274,A0A0A7P075,GO:0005739;GO:0006811;GO:0008289;GO:0015078;GO:0015986;GO:0016887;GO:0031966;GO:0033177;GO:0045259;GO:0046933;GO:1902600,BP;CC;MF,00190;01100,PF00137,IPR000454;IPR002379;IPR020537
Q0140,VAR1,VAR1,Mitochondrial ribosomal protein of the small subunit; mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane; may have a role in loss of mitochondrial DNA under stress conditions,S000007275,A0A0A7NYM3,GO:0003735;GO:0005739;GO:0005761;GO:0005763;GO:0005840;GO:0006412;GO:0032543;GO:1990904,BP;CC;MF,,PF05316,IPR007980
Q0182,NA,ORF11,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",S000007280,NA,,,,,
Q0250,COX2,COX2,Subunit II of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits,S000007281,A0A0A7NYF9,GO:0004129;GO:0005507;GO:0005739;GO:0005743;GO:0006123;GO:0009060;GO:0016020;GO:0016491;GO:0022900;GO:0031966;GO:0042773;GO:0045277;GO:0046872;GO:1902600,BP;CC;MF,00190;01100,PF00116;PF02790,IPR001505;IPR002429;IPR008972;IPR011759;IPR014222
Q0255,NA,maturase-like protein,Maturase-like protein,S000007282,A0A0A7P395,GO:0003674;GO:0004519;GO:0005739;GO:0008150,BP;CC;MF,,PF00961;PF07453,IPR003647;IPR004860;IPR010896;IPR027434
Q0275,COX3,COX3,Subunit III of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits; ubiquinone-binding protein,S000007283,A0A0A7P087,GO:0004129;GO:0005739;GO:0005743;GO:0006123;GO:0009055;GO:0009060;GO:0016020;GO:0019646;GO:0022904;GO:0031966;GO:0045277;GO:0048039;GO:1902600,BP;CC;MF,00190;01100,PF00510,IPR000298;IPR013833;IPR024791;IPR033945
Q0297,NA,ORF12,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene RPM1",S000007284,NA,,,,,
YAL001C,TFC3,TFC3,Subunit of RNA polymerase III transcription initiation factor complex; part of TauB domain of TFIIIC that binds DNA at BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); colocalizes with condensin at pol III genes and several ETC (extra TFIIIC) sites; may have a role in recruiting or stabilizing Scc2/4 and condensin on chromosomes,S000000001,B3LUU0,GO:0000127;GO:0001002;GO:0001003;GO:0003677;GO:0005634;GO:0005739;GO:0006383;GO:0006384;GO:0008301;GO:0042791;GO:0071168,BP;CC;MF,,PF04182;PF20222;PF21552,IPR007309
YAL002W,VPS8,VPS8,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif,S000000002,A7A0G5,GO:0005768;GO:0005770;GO:0005795;GO:0006623;GO:0006886;GO:0007009;GO:0008270;GO:0015031;GO:0016020;GO:0016192;GO:0032511;GO:0033263;GO:0034058;GO:0043495;GO:0046872;GO:0051020;GO:0098588;GO:0099023,BP;CC;MF,,PF12816;PF23410;PF23413;PF25066,IPR000547;IPR001841;IPR013083;IPR015943;IPR017986;IPR025941
YAL003W,EFB1,EFB1,"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants",S000000003,A7A0G4,GO:0003746;GO:0005085;GO:0005829;GO:0005853;GO:0006412;GO:0006414;GO:0006449;GO:0032232;GO:0032991;GO:1990145,BP;CC;MF,,PF00736;PF10587;PF21972,IPR001326;IPR010987;IPR014038;IPR014717;IPR018940
YAL005C,SSA1,SSA1,"ATPase involved in protein folding and NLS-directed nuclear transport; HSP70 family member; required for ubiquitin-dependent degradation of short-lived proteins; forms a chaperone complex with Ydj1p; localizes to the nucleus, cytoplasm and cell wall; unique functional specificity in the propagation of yeast [URE3] prions and vacuolar-mediated degradation of gluconeogenic enzymes; general targeting factor of Hsp104p to prion fibrils; 98% identity with paralog Ssa2p",S000000004,A7A0G3,GO:0000049;GO:0000166;GO:0000209;GO:0000329;GO:0002181;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0005886;GO:0006457;GO:0006606;GO:0006616;GO:0006626;GO:0009277;GO:0016887;GO:0031072;GO:0033554;GO:0034605;GO:0035617;GO:0042026;GO:0043161;GO:0044183;GO:0051082;GO:0051170;GO:0072318;GO:0072671;GO:0140662,BP;CC;MF,03040;04141;04144,PF00012,IPR013126;IPR018181;IPR029047;IPR029048
YAL007C,ERP2,ERP2,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication",S000000005,A0A0L8VVM0,GO:0003674;GO:0005783;GO:0005789;GO:0005793;GO:0005794;GO:0006621;GO:0006886;GO:0006888;GO:0007030;GO:0015031;GO:0016192;GO:0030134,BP;CC;MF,,PF01105,IPR009038;IPR015720
YAL008W,FUN14,FUN14,"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis",S000000006,A7A0G1,GO:0000422;GO:0003674;GO:0005739;GO:0005741;GO:0007005;GO:0016020;GO:0055091,BP;CC;MF,,PF04930,IPR007014
YAL009W,SPO7,SPO7,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear/ER membrane association and activation of Pah1p, a phosphatidate phosphatase involved in the production of diacylglycerol DAG for lipid droplet biogenesis; phosphatase activity of the Nem1p-Spo7p complex is inhibited by Ice2p; regulates nuclear growth by controlling phospholipid biosynthesis; required for normal nuclear envelope morphology, premeiotic replication, and sporulation",S000000007,C7GPM5,GO:0004721;GO:0005783;GO:0005789;GO:0006629;GO:0006998;GO:0016020;GO:0019888;GO:0030435;GO:0031965;GO:0061709;GO:0071071;GO:0071072;GO:0071595,BP;CC;MF,,PF03907,IPR005605
YAL010C,MDM10,MDM10,"Moonlighting protein component of both the ERMES and SAM complex; subunit of the ERMES complex that acts as a molecular tether between the mitochondria and the ER, necessary for both efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex subunit that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex often co-localizes with peroxisomes adjacent to mitochondria-ER junctions",S000000008,A7A0F9,GO:0001401;GO:0003674;GO:0005741;GO:0007005;GO:0007031;GO:0015914;GO:0032865;GO:0045040;GO:0051654;GO:0070096;GO:1990456,BP;CC;MF,,PF12519,IPR027539
YAL011W,SWC3,SWC3,"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",S000000009,A7A0F8,GO:0000812;GO:0005634;GO:0005739;GO:0006325;GO:0006338;GO:0007029;GO:0031492;GO:0140849,BP;CC;MF,,PF24707,
YAL012W,CYS3,CYS3,Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress,S000000010,A0A0L8VVM6,GO:0000097;GO:0004123;GO:0005634;GO:0005737;GO:0005829;GO:0006567;GO:0008652;GO:0016829;GO:0019343;GO:0019344;GO:0019346;GO:0030170;GO:0047804;GO:0050667;GO:1904828,BP;CC;MF,00260;00270;00450;00910;01100,PF01053,IPR000277;IPR015421;IPR015422;IPR015424
YAL013W,DEP1,DEP1,"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation; localizes to both the nucleus and mitochondria where it may play a role in mitophagy",S000000011,A7A0F6,GO:0000122;GO:0003674;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0006325;GO:0006357;GO:0010468;GO:0030174;GO:0033698;GO:0034605;GO:0042826;GO:0045944;GO:0061186;GO:0061188;GO:0070210;GO:0070822;GO:1900089;GO:1900090;GO:1900469;GO:1900470;GO:2001246;GO:2001247,BP;CC;MF,,PF08598,IPR013907;IPR033487
YAL014C,SYN8,SYN8,Endosomal SNARE related to mammalian syntaxin 8,S000000012,B5VDK9,GO:0000149;GO:0005484;GO:0005768;GO:0005829;GO:0006886;GO:0006896;GO:0006906;GO:0010008;GO:0012505;GO:0015031;GO:0031201;GO:0048278;GO:0061025,BP;CC;MF,04130,,IPR000727
YAL015C,NTG1,NTG1,"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication",S000000013,A0A0L8VW73,GO:0000703;GO:0003677;GO:0003824;GO:0003906;GO:0005634;GO:0005739;GO:0006281;GO:0006284;GO:0006285;GO:0006289;GO:0006974;GO:0008534;GO:0016787;GO:0016798;GO:0016829;GO:0019104;GO:0034599;GO:0090297;GO:0140078,BP;CC;MF,03410,PF00633;PF00730,IPR000445;IPR003265;IPR004036;IPR011257;IPR023170;IPR030841
YAL016C-A,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W",S000028728,NA,,,,,
YAL016C-B,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",S000028528,NA,,,,,
YAL016W,TPD3,TPD3,Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III,S000000014,A0A0L8VVR7,GO:0000159;GO:0004722;GO:0005634;GO:0005737;GO:0005816;GO:0005829;GO:0005934;GO:0005935;GO:0006417;GO:0007094;GO:0019888;GO:0043332;GO:0051225;GO:0051754,BP;CC;MF,03015;04111;04113,PF02985;PF22646,IPR011989;IPR016024;IPR021133
YAL017W,PSK1,PSK1,"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication",S000000015,B5VDK6,GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0006417;GO:0016301;GO:0016740;GO:0035556;GO:0045719;GO:0060917;GO:0106310,BP;CC;MF,,PF00069,IPR000014;IPR000719;IPR008271;IPR011009
YAL018C,LDS1,LDS1,"Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants",S000000016,A7A0F0,GO:0003674;GO:0005619;GO:0005628;GO:0005811;GO:0030435;GO:0030476;GO:0031160,BP;CC;MF,,,
YAL019W,FUN30,FUN30,"SWI/SNF-like ATP-dependent chromatin remodeler; involved in silencing at the MAT locus, telomeres and centromeres; enriched at centromeres and required to promote correct chromatin structure around centromeres and at the boundary element of silent mating type loci; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection; role in meiotic DSB resection and recombination; potential Cdc28p substrate",S000000017,B3LUV3,GO:0000122;GO:0000166;GO:0000183;GO:0000706;GO:0000729;GO:0000775;GO:0000781;GO:0000785;GO:0003677;GO:0003678;GO:0003682;GO:0004386;GO:0005524;GO:0005634;GO:0005694;GO:0005739;GO:0006281;GO:0006325;GO:0006338;GO:0006974;GO:0016787;GO:0016887;GO:0030466;GO:0031507;GO:0031509;GO:0031934;GO:0033120;GO:0045944;GO:0140658;GO:0140750;GO:1990918,BP;CC;MF,,PF00176;PF00271,IPR000330;IPR001650;IPR014001;IPR027417
YAL019W-A,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C",S000028729,NA,,,,,
YAL020C,ATS1,ATS1,"Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p",S000000018,A0A0L8VW78,GO:0002098;GO:0003674;GO:0005737;GO:0006511;GO:0008033;GO:0016567;GO:0017183;GO:0061630,BP;CC;MF,,PF13540,IPR000408;IPR009091
YAL021C,CCR4,CCR4,"Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",S000000019,A7A0E7,GO:0000076;GO:0000175;GO:0000288;GO:0000289;GO:0000932;GO:0003723;GO:0003824;GO:0004518;GO:0004527;GO:0004535;GO:0005634;GO:0005737;GO:0006260;GO:0006357;GO:0006368;GO:0007089;GO:0016593;GO:0016787;GO:0030015;GO:0032968;GO:0046872,BP;CC;MF,03018,PF03372;PF13855,IPR001611;IPR003591;IPR005135;IPR032675
YAL022C,FUN26,FUN26,"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member",S000000020,A0A0L8VVN8,GO:0000329;GO:0005337;GO:0005886;GO:0015205;GO:0015851;GO:0015858;GO:0016020;GO:0034257;GO:0034258;GO:0055085;GO:1901642,BP;CC;MF,,PF01733,IPR002259;IPR020846
YAL023C,PMT2,PMT2,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",S000000021,A0A0L8VVW1,GO:0000030;GO:0004169;GO:0005783;GO:0005789;GO:0006486;GO:0006493;GO:0016020;GO:0016740;GO:0016757;GO:0031502;GO:0032527;GO:0035269;GO:0036503;GO:0097582;GO:0097584;GO:1900101,BP;CC;MF,00514,PF02366;PF02815;PF16192,IPR003342;IPR016093;IPR027005;IPR032421
YAL024C,LTE1,LTE1,Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,S000000022,A0A0L8VVN4,GO:0005085;GO:0005737;GO:0005886;GO:0005933;GO:0007264;GO:0007265;GO:0016192;GO:0031536;GO:0031578;GO:0051301;GO:1902480,BP;CC;MF,04111,PF00617;PF00618,IPR000651;IPR001895;IPR019804;IPR023578
YAL025C,MAK16,MAK16,Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus,S000000023,A0A0L8VW84,GO:0000460;GO:0000463;GO:0000466;GO:0000470;GO:0003674;GO:0005634;GO:0005730;GO:0030684;GO:0030687;GO:0042273,BP;CC;MF,,PF01778;PF04874,IPR006958;IPR029004
YAL026C,DRS2,DRS2,"Trans-golgi network aminophospholipid translocase (flippase); P4-type ATPase; maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network",S000000024,B3LUW0,GO:0000166;GO:0000287;GO:0005524;GO:0005783;GO:0005794;GO:0005802;GO:0005886;GO:0006892;GO:0006897;GO:0008289;GO:0010008;GO:0015914;GO:0016020;GO:0016887;GO:0032456;GO:0045332;GO:0046872;GO:0090555;GO:0090556;GO:0140326;GO:0140331;GO:0140345;GO:0140346;GO:1990530,BP;CC;MF,,PF13246;PF16209;PF16212,IPR001757;IPR006539;IPR008250;IPR018303;IPR023214;IPR023299;IPR032630;IPR032631
YAL026C-A,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2",S000028730,NA,,,,,
YAL027W,SAW1,SAW1,5'- and 3'-flap DNA binding protein; required for recruitment of Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; forms a complex with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,S000000025,A0A0L8VVP3,GO:0000403;GO:0000405;GO:0000736;GO:0005634;GO:0006281;GO:0006974;GO:0070336;GO:0070337;GO:0070338,BP;CC;MF,,PF11561,IPR021624
YAL028W,FRT2,FRT2,"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication",S000000026,B3LUW2,GO:0003674;GO:0005783;GO:0005789;GO:0031204;GO:0071469;GO:0071472,BP;CC;MF,,PF13694,IPR025752
YAL029C,MYO4,MYO4,"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication",S000000027,B5VDJ1,GO:0000146;GO:0000166;GO:0003774;GO:0003779;GO:0005516;GO:0005524;GO:0005737;GO:0005739;GO:0005933;GO:0005934;GO:0006897;GO:0007015;GO:0007533;GO:0008298;GO:0010256;GO:0015629;GO:0016020;GO:0016459;GO:0031941;GO:0048308;GO:0048309;GO:0051015;GO:0051028,BP;CC;MF,,PF00063;PF00612;PF01843,IPR000048;IPR001609;IPR002710;IPR008989;IPR027417
YAL030W,SNC1,SNC1,"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication",S000000028,A7A0D8,GO:0005484;GO:0005768;GO:0005802;GO:0005829;GO:0005886;GO:0005933;GO:0005935;GO:0006887;GO:0006893;GO:0006897;GO:0006906;GO:0012505;GO:0016020;GO:0016192;GO:0019905;GO:0030658;GO:0031201;GO:0071944,BP;CC;MF,04130,PF00957,IPR001388;IPR016444
YAL031C,GIP4,GIP4,Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate,S000000029,C7GPK4,GO:0005737;GO:0007059;GO:0008157;GO:0019888,BP;CC;MF,,,IPR026241
YAL031W-A,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C",S000028731,NA,,,,,
YAL032C,PRP45,PRP45,Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene,S000000030,A0A0L8VVP8,GO:0000350;GO:0000384;GO:0000386;GO:0000398;GO:0005634;GO:0005681;GO:0006397;GO:0008380;GO:0071006;GO:0071007;GO:0071014,BP;CC;MF,03040,PF02731,IPR004015;IPR017862
YAL033W,POP5,POP5,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs",S000000031,A0A0L8VVX0,GO:0000171;GO:0000172;GO:0000294;GO:0000460;GO:0001682;GO:0003723;GO:0004526;GO:0005634;GO:0005655;GO:0005737;GO:0006364;GO:0008033;GO:0016787;GO:0030677;GO:0033204;GO:0034965,BP;CC;MF,03008;03013,PF01900,IPR002759;IPR016819
YAL034C,FUN19,FUN19,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",S000002134,A0A0L8VVP5,GO:0003674;GO:0003682;GO:0003713;GO:0005575;GO:0005634;GO:0006338;GO:0006357;GO:0008150;GO:0010468;GO:0045893;GO:0070210,BP;CC;MF,,PF04433,IPR007526;IPR009057
YAL034C-B,NA,YAL035C-A,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",S000002137,NA,,,,,
YAL034W-A,MTW1,MTW1,Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND),S000000032,A7A0D3,GO:0000070;GO:0000278;GO:0000444;GO:0000775;GO:0000776;GO:0000922;GO:0003674;GO:0005634;GO:0007059;GO:0034501;GO:0051301;GO:0051382,BP;CC;MF,,PF05859,IPR008685
YAL035W,FUN12,FUN12,Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2,S000000033,B3LUX0,GO:0000166;GO:0000462;GO:0001732;GO:0003743;GO:0003924;GO:0005525;GO:0005737;GO:0005739;GO:0005829;GO:0006412;GO:0006413;GO:0006446;GO:0010494;GO:0016787;GO:0022627;GO:0031369;GO:0033290;GO:0042255;GO:0042256;GO:0043022;GO:0046872;GO:0070181,BP;CC;MF,03013,PF00009;PF11987;PF14578,IPR000795;IPR004161;IPR005225;IPR009000;IPR023115;IPR027417
